id;gender;lastName;firstName;birthday;placeOfBirth;countryOfOrigin
1;f;Rossi;Sofia;19971221;Mailand;Italy
2;f;Garcia;Emilia;19940317;Sevilla;Spain
3;m;Silva;Francesco;19950123;Valladolid;Spain
4;f;Bianchi;Lena;19910703;Rom;Italy
5;m;Smith;Luka;19970307;London;UK
6;m;Murphy;Robert;19900826;Cambridge;UK
7;m;Korhonen;Juhani;19961007;Helsinki;Finland
8;f;Hansen;Mia;19960920;Helsingborg;Sweden
9;m;Andersson;Jakub;19940423;Oslo;Norway
10;f;Melnik;Lucia;19930202;Berlin;Germany
11;f;Mueller;Ewelina;19991224;Paris;France
12;m;Nielsen;Jack;19970615;Budapest;Hungary
13;f;Gruber;Amelia;19940911;Vienna;Austria
14;m;Horvat;Oliver;19980412;Opole;Poland
15;f;Ivanov;Elif;19971009;Konstanz;Germany
16;f;Bersins;Adela;19960116;Turin;Italy
17;f;Papadopoulos;Thalia;19960807;Athens;Greece
18;m;Berzins;Johannes;19980120;Lyon;France
19;m;Nagy;Liam;19911106;Nitra;Slovakia
20;f;Martyn;Margaret;19941214;Toulouse;France
